Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
0,2,1,1,1,1,1,2,2,60
0,2,4,3,3,1,2,3,3,88
1,2,3,1,2,1,2,4,2,70
1,2,3,5,3,1,3,5,5,57
0,2,1,5,1,1,1,2,2,70
0,2,3,1,2,1,1,4,2,80
0,2,1,4,1,1,1,4,3,70
0,2,2,3,4,1,2,3,3,71
1,2,4,2,5,1,3,5,4,80
0,2,3,1,3,1,1,4,2,80
0,2,2,5,1,1,2,4,2,88
0,2,2,4,2,1,2,4,5,75
1,2,2,1,3,1,2,3,2,70
1,2,3,1,1,1,1,4,5,76
0,2,4,5,1,1,1,4,2,67
0,2,1,5,1,1,3,3,2,75
0,2,4,1,3,1,2,4,3,73
0,2,3,1,3,1,2,2,3,55
1,2,2,2,2,1,2,3,3,87
1,2,0,0,0,0,4,4,2,98
1,2,3,4,1,1,2,3,3,98
0,2,2,2,2,1,4,5,5,97.66
0,2,1,4,1,1,2,4,4,82.5
0,2,2,5,1,1,3,6,5,98.5
1,2,4,1,5,1,3,2,2,40
0,2,0,0,0,0,1,2,2,78.5
0,2,1,4,1,1,3,5,5,94.5
0,2,1,5,1,1,2,4,4,91
0,2,1,5,2,1,1,3,5,90
0,2,1,2,2,1,2,2,2,95.24
1,2,1,5,3,1,2,5,5,70
0,2,2,3,2,1,1,2,3,65.5
0,2,4,4,2,1,3,4,5,80
0,2,0,0,0,0,1,6,6,85.5
0,2,1,5,1,1,3,5,4,75
0,2,1,1,3,1,2,2,4,74
0,2,1,5,1,1,2,2,2,85
0,2,2,4,2,1,3,5,4,90
1,2,2,3,2,1,4,5,4,93.5
0,2,1,2,1,1,1,4,2,65.5
1,2,3,1,5,1,2,2,2,50
0,2,0,0,0,0,2,4,2,90.8
0,2,2,3,2,1,3,4,4,86.7
0,2,2,3,2,1,1,4,2,70
0,2,1,5,2,1,2,2,3,75
0,2,2,2,2,1,2,3,3,60
1,2,1,1,2,1,3,3,3,63
0,3,0,0,0,0,2,2,2,80
0,3,1,5,2,1,3,4,4,74
0,3,0,0,0,0,3,6,4,85
0,3,0,0,0,0,2,4,3,87
1,3,0,0,0,0,4,3,3,65
0,3,0,0,0,0,2,4,2,68
0,3,0,0,0,0,2,5,5,70
0,3,0,0,0,0,3,4,3,75
1,3,4,1,2,1,1,2,2,55
1,3,1,2,1,1,1,4,3,55
0,3,2,4,3,1,2,3,3,50
1,3,0,0,0,0,2,4,4,80
0,3,0,0,0,0,3,4,4,90
1,3,4,3,2,1,3,4,3,50
1,3,0,0,0,0,2,4,2,90
0,3,0,0,0,0,3,6,4,86
0,3,0,0,0,0,2,3,2,65
1,3,1,2,2,1,3,3,3,45
1,3,1,3,1,1,2,4,4,50
0,3,0,0,0,0,2,4,3,85
1,3,0,0,0,0,2,3,3,65
0,3,0,0,0,0,2,3,3,85
0,3,2,3,3,1,3,2,2,70
0,3,2,3,2,1,2,3,3,67
0,3,0,0,0,0,3,3,2,88
1,3,0,0,0,0,1,4,2,70
1,3,0,0,0,0,1,4,4,65
0,3,3,4,3,1,1,3,3,60
1,3,2,3,1,1,2,3,3,85
1,3,3,1,3,1,1,5,4,75
1,3,1,5,2,1,1,2,2,60
1,3,0,0,0,0,2,1,3,65
0,3,2,4,2,1,1,2,2,70
0,3,0,0,0,0,1,2,3,65
0,3,0,0,0,0,2,5,3,60
0,3,3,2,1,1,1,5,4,50
0,3,0,0,0,0,3,3,2,50
0,3,0,0,0,0,2,4,3,86
1,3,4,1,4,1,2,2,2,55
0,3,0,0,0,0,2,2,3,59
0,3,0,0,0,0,1,2,2,55
0,3,1,5,2,1,2,4,4,88
0,3,3,3,2,1,1,4,3,55
0,3,1,2,1,1,1,2,4,60
0,3,1,3,3,1,2,4,4,100
0,3,1,2,1,1,1,3,1,65
0,3,3,3,2,1,2,5,4,70
1,3,1,5,2,1,2,3,1,65
1,3,1,4,3,1,3,5,3,65
1,3,3,3,1,1,2,4,5,50
0,3,1,5,1,1,1,1,2,70
0,3,2,5,1,1,2,4,4,90
1,3,2,2,1,1,2,5,4,90
1,3,1,4,2,1,1,3,4,70
0,3,1,2,1,1,2,3,2,65
1,3,4,1,3,1,2,5,3,75
0,3,2,3,1,1,2,4,4,80
1,3,1,3,1,1,1,4,1,65
1,3,0,0,0,0,1,2,2,92.6
1,3,0,0,0,0,2,3,1,50
0,3,1,3,1,1,1,3,3,53
0,3,1,5,1,1,2,4,2,90
0,3,1,5,2,1,2,3,3,80
1,3,3,4,3,1,1,3,3,50
1,3,1,5,1,1,2,2,3,75
1,3,4,3,3,1,2,2,2,75
1,4,3,5,2,1,3,5,6,90
0,4,0,0,0,0,2,3,4,70
0,4,0,0,0,0,2,4,3,85
0,4,0,0,0,0,2,2,2,77.5
1,4,4,3,3,1,4,4,4,80
1,4,0,0,0,0,1,3,3,60
0,4,1,2,2,1,1,2,2,72
0,4,0,0,0,0,2,5,3,80
0,4,0,0,0,0,3,4,5,80
0,4,0,0,0,0,2,3,4,70
0,4,0,0,0,0,2,4,4,89
0,4,0,0,0,0,3,3,2,80
1,4,0,0,0,0,1,3,3,70
1,4,1,4,1,1,4,3,4,75
0,4,0,0,0,0,3,5,4,87
0,4,0,0,0,0,1,3,2,70
0,4,0,0,0,0,1,4,5,85
1,4,3,2,2,1,2,4,4,85
1,4,2,4,2,1,2,6,5,75
1,4,4,1,4,1,3,4,4,98
1,4,4,2,1,1,3,4,3,99
1,4,4,1,1,1,2,5,5,87
1,4,2,1,2,1,2,2,4,82
0,4,4,3,3,1,2,4,4,70
1,4,1,1,3,1,1,4,4,50
1,4,3,5,5,1,2,3,2,60
1,4,3,1,5,1,4,3,3,70
1,4,1,2,2,1,1,2,2,42.5
1,4,1,2,1,1,2,5,5,76
1,4,1,2,3,1,3,5,3,92.5
1,4,1,4,1,1,2,4,4,40
1,4,4,1,2,1,3,3,4,60
1,4,4,3,3,1,1,3,3,70
0,4,2,2,2,1,1,3,3,60
1,4,4,1,4,1,2,3,4,90
0,4,0,0,0,0,1,4,2,50
1,4,1,1,2,1,2,4,4,50
1,4,3,5,2,1,3,6,4,80.5
0,4,1,5,2,1,1,2,2,75
1,4,2,5,3,1,3,6,5,99
1,4,4,1,5,1,4,5,4,83.5
0,4,1,5,1,1,3,4,5,75
0,4,2,2,1,1,3,4,4,70
1,4,1,5,1,1,1,3,1,50.6
1,4,4,1,5,1,2,5,3,70
0,4,1,3,2,1,1,3,4,53
0,4,1,5,1,1,3,5,4,97.5
0,4,4,5,1,1,2,2,3,67
1,4,4,5,5,1,2,4,4,88
0,4,1,5,1,1,2,4,3,90
0,4,0,0,0,0,2,4,5,90
0,4,1,3,2,1,1,5,2,50
1,4,1,5,3,1,2,5,4,89
1,4,3,1,2,1,3,5,3,95
1,4,4,1,3,1,2,3,4,75
0,4,2,1,2,1,2,3,4,60
0,4,2,3,1,1,3,4,5,98
0,4,1,5,1,1,2,4,4,95
1,4,4,5,3,1,3,5,5,91
1,4,2,5,2,1,3,4,4,55
0,4,2,5,1,1,3,5,4,89.5
1,4,1,5,1,1,3,3,3,90
1,4,3,3,2,1,3,4,2,55.5
1,4,2,5,2,1,2,4,4,75
1,4,1,5,2,1,3,6,6,92.5
1,4,4,5,2,1,2,3,4,93
1,4,1,3,2,1,2,5,3,93
1,4,3,1,4,1,2,5,5,80
1,4,4,1,4,1,2,4,4,50
0,4,0,0,0,0,1,4,4,62
1,4,1,5,1,1,2,4,4,96.5
0,4,2,4,2,1,2,4,4,50
0,4,0,0,0,0,1,3,3,55
1,4,3,4,2,1,3,5,4,75
0,4,0,0,0,0,3,5,4,86
1,4,3,1,2,1,3,5,4,52
0,4,0,0,0,0,2,4,4,85
1,4,4,3,1,1,4,3,4,80
0,4,1,3,2,1,1,2,4,62
1,4,3,1,1,1,2,5,5,62
1,4,1,1,2,1,2,3,3,40
0,4,2,5,4,1,2,2,4,80
0,4,0,0,0,0,3,4,2,75
0,4,1,3,2,1,3,5,4,68
1,4,3,3,2,1,3,2,2,88
1,4,1,1,3,1,2,4,4,56
0,4,1,3,1,1,2,3,3,67.2
0,4,0,0,0,0,4,4,4,76
0,4,0,0,0,0,1,4,4,70
1,4,3,1,3,1,2,4,2,60
1,4,1,4,1,1,2,5,3,42.5
1,4,1,5,2,1,2,5,4,80
0,4,0,0,0,0,3,4,4,97
0,4,0,0,0,0,2,4,4,75
0,4,0,0,0,0,2,4,4,92
1,4,4,4,2,1,3,3,3,85
0,4,1,5,1,1,2,6,4,90
0,4,2,2,1,1,1,4,3,85
0,4,0,0,0,0,1,3,2,70
1,4,2,3,2,1,2,3,1,43
0,4,0,0,0,0,2,5,3,85
1,4,1,3,3,1,2,4,4,85
0,4,2,5,2,1,2,3,3,65
0,4,2,1,3,1,2,3,3,70
0,4,2,3,1,1,3,4,5,75
1,4,1,3,2,1,2,2,3,55
1,4,1,1,2,1,3,5,5,68
1,4,4,5,4,1,4,4,4,95
1,4,3,5,2,1,4,5,5,95
1,4,0,0,0,0,2,5,4,59.69
1,4,4,3,3,1,1,5,4,85
1,4,4,1,3,1,2,4,3,65
1,4,1,3,3,1,3,4,4,45
0,4,0,0,0,0,2,4,5,87.5
1,4,1,5,1,1,2,3,4,88
1,4,4,1,4,1,2,5,3,40
0,4,0,0,0,0,2,5,4,77
1,4,2,3,2,1,3,4,4,71
0,4,0,0,0,0,2,4,3,75
0,4,0,0,0,0,4,6,6,90
1,4,3,3,3,1,2,3,3,65
1,4,1,3,2,1,2,4,3,65
1,5,4,1,3,1,3,5,4,100
0,5,2,5,2,1,4,5,3,100
1,5,2,4,2,1,3,4,2,100
1,5,2,4,3,1,4,2,4,100
1,5,3,4,1,1,2,4,4,90.5
0,5,0,0,0,0,3,3,4,100
1,5,4,1,5,1,1,4,3,80
1,5,2,1,2,1,2,5,3,85
0,5,1,5,1,1,4,6,6,100
0,5,1,3,1,1,3,5,3,100
0,5,2,3,3,1,4,4,4,100
1,5,2,5,3,1,3,4,3,85
1,5,3,4,1,1,4,4,4,90
1,5,0,0,0,0,3,4,5,85
1,5,4,1,4,1,3,4,4,100
0,5,4,2,3,1,4,5,3,80
0,5,0,0,0,0,4,4,4,90
0,5,3,3,2,1,2,3,3,100
0,5,1,2,1,1,3,4,4,96.5
0,5,2,4,3,1,3,4,4,85
0,5,0,0,0,0,2,5,4,100
0,5,0,0,0,0,2,4,4,100
1,5,0,0,0,0,3,6,5,98
0,5,3,5,2,1,4,6,5,100
1,5,3,1,4,1,2,4,3,92
1,5,4,4,2,1,2,5,4,90
0,5,3,3,1,1,3,4,4,85
0,5,1,5,2,1,4,5,4,85
0,5,0,0,0,0,2,5,4,100
1,5,1,3,2,1,2,5,5,72.5
1,5,3,3,2,1,4,4,4,85
0,6,1,5,2,1,4,4,4,100
1,6,2,1,2,1,4,5,5,100
1,6,1,4,1,1,4,2,2,100
1,6,4,5,5,1,4,3,3,85
1,6,0,0,0,0,3,2,4,100
0,6,2,3,1,1,2,3,3,75
1,6,2,5,2,1,4,2,2,100
1,6,3,5,3,1,4,0,6,100
1,6,4,1,4,1,1,4,4,100
0,6,0,0,0,0,3,4,5,100
1,6,4,3,3,1,4,6,4,100
1,6,3,2,3,1,3,6,6,100
1,6,4,5,5,1,4,4,4,70
1,6,3,5,2,1,3,6,5,100
1,6,0,0,0,0,3,5,3,100
0,6,0,0,0,0,3,5,4,100
1,6,3,2,2,1,4,6,6,100
1,6,1,5,2,1,4,6,5,100
1,6,3,1,3,1,3,5,5,100
0,6,0,0,0,0,4,6,5,90
1,6,3,5,2,1,2,4,4,100
0,7,0,0,0,0,0,4,4,95
1,7,1,2,1,1,0,5,3,100
0,7,3,2,1,1,0,5,5,100
0,7,3,2,2,1,0,4,3,85
1,7,2,5,1,1,0,4,5,90
0,7,0,0,0,0,0,4,4,100
0,7,0,0,0,0,0,5,4,90
1,7,0,0,0,0,0,5,5,100
1,7,1,5,1,1,0,5,5,100
1,7,1,5,1,1,0,4,4,86
0,7,3,2,1,1,0,5,5,90
1,7,3,5,3,1,0,3,3,90
1,7,3,5,1,1,0,5,5,100
1,7,3,4,3,1,0,5,5,100
0,7,1,2,2,1,0,4,4,95
1,7,2,2,1,1,0,5,5,100
1,7,3,2,3,1,0,3,3,100
0,7,0,0,0,0,0,5,4,100
0,7,0,0,0,0,0,6,6,100
0,7,2,5,3,1,0,4,5,100
1,7,1,4,1,1,0,6,6,100
1,7,2,3,2,1,0,5,4,90
1,7,2,4,3,1,0,5,5,100
1,7,2,3,3,1,0,4,2,85
1,7,1,4,1,1,0,5,5,100
0,7,0,0,0,0,0,4,4,100
1,7,1,5,1,1,0,3,2,100
0,7,0,0,0,0,0,5,6,100
0,7,0,0,0,0,0,5,5,100
1,7,0,0,0,0,0,4,3,95
1,7,4,5,3,1,0,4,4,100
1,7,1,3,1,1,0,2,2,100
0,7,4,5,1,1,0,5,5,100
1,7,0,0,0,0,0,4,5,98
1,7,1,5,1,1,0,4,4,97
0,7,0,0,0,0,0,5,5,100
1,7,1,4,2,1,0,4,4,100
0,7,0,0,0,0,0,6,6,100
0,7,0,0,0,0,0,5,5,90
1,7,4,5,3,1,0,4,4,97
0,7,0,0,0,0,0,5,3,97
1,8,0,0,0,0,1,3,3,75
1,8,1,1,1,1,2,4,3,65
0,8,1,5,1,1,1,4,2,56
1,8,3,4,3,1,2,3,2,50
1,8,3,2,2,1,3,3,3,72
0,8,2,5,2,1,2,4,3,87
1,8,0,0,0,0,3,4,4,67.5
0,8,0,0,0,0,3,4,4,80
0,8,0,0,0,0,2,2,2,80
1,8,1,3,1,1,2,5,3,85
0,8,0,0,0,0,2,2,2,95
1,8,1,4,2,1,1,3,1,60
1,8,0,0,0,0,1,3,3,90
0,8,0,0,0,0,2,4,4,100
0,8,4,1,1,1,1,4,4,90
0,8,0,0,0,0,2,4,4,75
1,8,0,0,0,0,3,3,4,87.5
0,8,2,4,2,1,2,4,3,95
0,8,0,0,0,0,1,4,2,87.5
0,8,0,0,0,0,1,3,2,90
0,8,0,0,0,0,1,5,2,90
0,8,0,0,0,0,1,4,4,83
1,8,3,3,3,1,2,4,2,85
1,8,0,0,0,0,2,4,2,77.5
1,8,2,3,2,1,2,2,2,65
1,8,0,0,0,0,2,5,3,95
1,8,1,3,1,1,1,3,3,75
1,8,2,2,2,1,3,4,2,75
0,8,0,0,0,0,2,3,2,95
1,8,2,3,1,1,2,3,5,82.5
1,8,2,4,1,1,2,2,3,60
1,8,2,5,4,2,1,3,2,40
0,8,0,0,0,0,2,4,4,65
1,8,3,5,1,1,2,4,4,78
0,8,2,4,3,1,2,4,4,75
0,8,0,0,0,0,2,4,2,85.5
0,8,2,3,1,1,2,4,4,70
1,8,4,3,3,1,2,4,2,80
0,8,2,3,3,1,2,2,2,65
1,8,1,4,2,1,3,4,2,67
1,8,2,2,2,1,3,5,5,50
1,8,1,2,2,1,1,3,2,50
1,8,2,5,1,1,1,2,2,33
1,8,1,4,1,1,1,5,3,90
1,8,3,5,2,1,1,4,2,85.3
0,8,1,1,1,1,2,4,2,52
0,8,0,0,0,0,2,4,3,53
0,8,1,4,1,1,2,4,4,70
0,8,0,0,0,0,2,4,4,70.5
1,8,1,4,2,1,2,4,3,70
1,8,1,5,2,1,4,2,1,49.53
1,8,1,2,2,1,2,4,4,68
1,8,2,1,2,1,2,4,4,50
0,8,0,0,0,0,2,2,2,80.5
1,8,2,3,2,1,2,2,2,72.1
1,8,2,3,3,1,1,2,3,40
1,8,2,2,1,1,2,3,3,80.33
0,8,2,3,3,1,2,0,3,90
1,8,3,1,3,1,2,4,4,92.5
0,8,1,5,1,1,2,4,3,92.5
1,8,3,1,4,1,4,5,4,60
1,8,2,5,3,1,3,4,5,56.5
1,8,4,2,4,1,2,4,4,95
0,8,0,0,0,0,1,4,2,92
0,8,0,0,0,0,2,3,4,75
