Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
1,11,1,5,1,1,1,2,4,75
1,11,2,5,3,1,2,1,2,95.5
0,11,1,4,1,1,3,4,2,50
0,11,1,5,1,1,1,2,2,75.5
0,11,4,1,2,1,2,4,4,80
0,11,2,4,1,1,2,4,3,80
0,11,1,5,2,1,2,4,4,85
1,11,4,1,1,1,1,2,2,65
1,11,4,1,3,1,3,4,5,90
0,11,0,0,0,0,2,3,1,70
0,11,0,0,0,0,3,3,2,90
1,11,4,1,3,1,2,4,3,85
0,11,4,1,5,1,2,2,2,80
0,11,3,3,2,1,1,2,3,85
0,11,3,3,2,1,2,4,2,85
0,11,1,3,1,1,1,2,4,65
1,11,4,1,2,1,1,3,2,65
0,11,4,1,4,1,1,2,2,60.5
1,11,2,1,2,1,2,3,3,63
1,11,4,1,3,1,2,3,2,55
1,8,4,1,5,1,1,2,3,66
1,8,1,4,1,1,2,4,4,85
1,8,1,3,2,1,2,3,4,97
0,8,2,2,1,1,3,3,4,85
1,8,0,0,0,0,2,3,4,82.2
0,8,0,0,0,0,3,5,3,75
0,8,1,5,1,1,1,5,2,81
0,8,4,1,2,1,3,3,4,83.5
1,8,4,1,2,1,4,3,3,70
1,8,2,4,2,1,2,3,1,80
0,8,0,0,0,0,3,4,4,65
1,8,4,1,3,1,2,4,3,75
0,8,0,0,0,0,2,3,3,75
0,8,2,4,1,1,2,4,4,65
1,4,2,5,1,1,2,4,3,60
0,4,1,4,2,1,1,2,2,60.5
0,4,4,4,2,1,2,3,3,55.3
1,4,4,5,3,1,3,6,4,70
1,4,3,4,3,1,1,3,3,55
1,4,4,3,4,1,2,3,2,70
1,4,3,1,4,1,3,3,4,60
0,4,1,5,2,1,2,2,2,60
1,4,4,2,5,1,4,4,4,60
1,4,0,0,0,0,2,2,2,70
1,4,4,2,5,1,2,4,5,60
0,4,3,5,1,1,1,4,4,55.5
0,4,0,0,0,0,2,4,4,70
0,4,4,5,3,1,2,6,4,65
1,4,2,4,1,1,2,4,3,78
0,4,4,1,2,1,1,4,4,61
0,4,0,0,0,0,2,5,5,70.5
0,4,0,0,0,0,2,5,4,72
0,4,1,1,1,1,2,6,3,92.5
1,4,2,5,1,1,1,3,4,65
1,4,1,1,3,1,3,6,4,64
0,4,0,0,0,0,1,5,3,85
1,4,1,5,2,1,3,6,5,79
0,4,0,0,0,0,1,4,2,86
1,8,1,1,5,1,2,2,4,88
1,8,4,1,2,1,4,3,4,70
1,8,3,1,4,1,2,2,2,89
0,8,0,0,0,0,1,4,3,90
1,8,4,1,5,1,1,2,2,70
1,8,4,3,3,1,2,3,3,75
0,8,0,0,0,0,2,3,3,75
1,8,3,4,3,1,1,4,4,40
1,2,2,1,3,1,1,2,1,55
1,2,0,0,0,0,1,2,1,45
1,2,1,4,1,1,2,4,3,87
1,2,4,1,5,1,2,4,3,82
0,5,1,5,2,1,3,4,3,100
1,5,4,2,1,1,2,4,4,100
0,5,0,0,0,0,0,0,0,100
1,1,0,0,0,0,3,5,4,60
1,1,0,0,0,0,2,3,2,64.75
1,1,2,2,5,1,2,2,1,50
0,2,1,4,1,1,1,4,4,70
0,2,2,5,4,1,2,4,3,45.5
0,2,3,3,3,1,2,2,2,57
1,2,1,3,3,1,2,4,2,89
1,2,3,3,3,1,1,4,2,50
0,2,0,0,0,0,2,3,3,94
1,2,1,4,2,1,2,3,4,85
1,2,1,2,4,1,1,3,3,67.5
1,9,2,5,1,1,2,5,5,100
0,4,2,1,3,1,4,5,4,75
0,4,2,1,3,1,2,4,4,77
0,9,2,5,2,1,0,5,5,100
